rownames,YEAR,co2,site,NPP,NUP
NA.392,2005.0,ELE,KSCO,,
NA.402,2006.0,ELE,KSCO,,
NA.413,2007.0,ELE,KSCO,,
1121,1998.0,AMB,NDFF,,
2121,1998.0,AMB,NDFF,,
3121,1998.0,AMB,NDFF,,
4121,1998.0,AMB,NDFF,,
561,1998.0,AMB,NDFF,,
621,1998.0,AMB,NDFF,,
721,1999.0,AMB,NDFF,,
821,1999.0,AMB,NDFF,,
921,1999.0,AMB,NDFF,,
1021,1999.0,AMB,NDFF,,
1131,1999.0,AMB,NDFF,,
1221,1999.0,AMB,NDFF,,
1321,2000.0,AMB,NDFF,,
1421,2000.0,AMB,NDFF,,
1521,2000.0,AMB,NDFF,,
1621,2000.0,AMB,NDFF,,
1721,2000.0,AMB,NDFF,,
1821,2000.0,AMB,NDFF,,
1921,2001.0,AMB,NDFF,,
2021,2001.0,AMB,NDFF,,
2131,2001.0,AMB,NDFF,,
2221,2001.0,AMB,NDFF,,
2321,2001.0,AMB,NDFF,,
2421,2001.0,AMB,NDFF,,
2521,2002.0,AMB,NDFF,,
2621,2002.0,AMB,NDFF,,
2721,2002.0,AMB,NDFF,,
2821,2002.0,AMB,NDFF,,
2921,2002.0,AMB,NDFF,,
3021,2002.0,AMB,NDFF,,
3131,2003.0,AMB,NDFF,,
3221,2003.0,AMB,NDFF,,
3321,2003.0,AMB,NDFF,,
3421,2003.0,AMB,NDFF,,
3521,2003.0,AMB,NDFF,,
3621,2003.0,AMB,NDFF,,
3721,2004.0,AMB,NDFF,,
3821,2004.0,AMB,NDFF,,
3921,2004.0,AMB,NDFF,,
4021,2004.0,AMB,NDFF,,
4131,2004.0,AMB,NDFF,,
4221,2004.0,AMB,NDFF,,
4321,2005.0,AMB,NDFF,,
4421,2005.0,AMB,NDFF,,
4521,2005.0,AMB,NDFF,,
4621,2005.0,AMB,NDFF,,
4721,2005.0,AMB,NDFF,,
4821,2005.0,AMB,NDFF,,
4921,2006.0,AMB,NDFF,,
5021,2006.0,AMB,NDFF,,
5121,2006.0,AMB,NDFF,,
5221,2006.0,AMB,NDFF,,
5321,2006.0,AMB,NDFF,,
5421,2006.0,AMB,NDFF,,
NA11,1998.0,NBC,NDFF,,
NA.1101,1998.0,NBC,NDFF,,
NA.2101,1998.0,NBC,NDFF,,
NA.3101,1998.0,NBC,NDFF,,
NA.4101,1998.0,NBC,NDFF,,
NA.5101,1998.0,NBC,NDFF,,
NA.610,1999.0,NBC,NDFF,,
NA.710,1999.0,NBC,NDFF,,
NA.810,1999.0,NBC,NDFF,,
NA.910,1999.0,NBC,NDFF,,
NA.108,1999.0,NBC,NDFF,,
NA.111,1999.0,NBC,NDFF,,
NA.121,2000.0,NBC,NDFF,,
NA.131,2000.0,NBC,NDFF,,
NA.141,2000.0,NBC,NDFF,,
NA.151,2000.0,NBC,NDFF,,
NA.161,2000.0,NBC,NDFF,,
NA.171,2000.0,NBC,NDFF,,
NA.181,2001.0,NBC,NDFF,,
NA.191,2001.0,NBC,NDFF,,
NA.201,2001.0,NBC,NDFF,,
NA.211,2001.0,NBC,NDFF,,
NA.221,2001.0,NBC,NDFF,,
NA.231,2001.0,NBC,NDFF,,
NA.241,2002.0,NBC,NDFF,,
NA.251,2002.0,NBC,NDFF,,
NA.261,2002.0,NBC,NDFF,,
NA.271,2002.0,NBC,NDFF,,
NA.281,2002.0,NBC,NDFF,,
NA.291,2002.0,NBC,NDFF,,
NA.301,2003.0,NBC,NDFF,,
NA.311,2003.0,NBC,NDFF,,
NA.321,2003.0,NBC,NDFF,,
NA.331,2003.0,NBC,NDFF,,
NA.341,2003.0,NBC,NDFF,,
NA.351,2003.0,NBC,NDFF,,
NA.361,2004.0,NBC,NDFF,,
NA.371,2004.0,NBC,NDFF,,
NA.381,2004.0,NBC,NDFF,,
NA.391,2004.0,NBC,NDFF,,
NA.401,2004.0,NBC,NDFF,,
NA.411,2004.0,NBC,NDFF,,
NA.42,2005.0,NBC,NDFF,,
NA.43,2005.0,NBC,NDFF,,
NA.44,2005.0,NBC,NDFF,,
NA.45,2005.0,NBC,NDFF,,
NA.46,2005.0,NBC,NDFF,,
