fates_allom_d2bl1,fates_maintresp_leaf_ryan1991_baserate,fates_maintresp_nonleaf_baserate,fates_cnp_store_ovrflw_frac,fates_cnp_vmax_nh4,fates_cnp_vmax_no3,fates_cnp_vmax_p
0.05891783567134269,7.955911823647291e-07,7.955911823647291e-07,0.7815631262525055,1.7017380169599847e-09,1.7017380169599847e-09,1.7017380169599846e-10
0.059659318637274555,8.134268537074145e-07,8.134268537074145e-07,0.8016032064128261,1.7250950412746673e-09,1.7250950412746673e-09,1.7250950412746673e-10
0.06040080160320642,8.312625250500999e-07,8.312625250500999e-07,0.8216432865731468,1.7487726499445205e-09,1.7487726499445205e-09,1.7487726499445206e-10
0.06114228456913828,8.490981963927852e-07,8.490981963927852e-07,0.8416833667334674,1.7727752431160446e-09,1.7727752431160446e-09,1.7727752431160447e-10
0.06188376753507015,8.669338677354706e-07,8.669338677354706e-07,0.8617234468937881,1.7971072813294882e-09,1.7971072813294882e-09,1.797107281329488e-10
0.06262525050100201,8.84769539078156e-07,8.84769539078156e-07,0.8817635270541088,1.8217732863477525e-09,1.8217732863477525e-09,1.8217732863477524e-10
0.06336673346693387,9.026052104208413e-07,9.026052104208413e-07,0.9018036072144294,1.8467778419967344e-09,1.8467778419967344e-09,1.8467778419967343e-10
0.06410821643286574,9.204408817635267e-07,9.204408817635267e-07,0.9218436873747501,1.8721255950171393e-09,1.8721255950171393e-09,1.8721255950171394e-10
0.0648496993987976,9.382765531062121e-07,9.382765531062121e-07,0.9418837675350707,1.897821255928025e-09,1.897821255928025e-09,1.897821255928025e-10
0.06559118236472947,9.561122244488975e-07,9.561122244488975e-07,0.9619238476953914,1.923869599902158e-09,1.923869599902158e-09,1.923869599902158e-10
0.06633266533066133,9.739478957915829e-07,9.739478957915829e-07,0.9819639278557121,1.950275467653451e-09,1.950275467653451e-09,1.950275467653451e-10
0.0670741482965932,9.917835671342682e-07,9.917835671342682e-07,1.0020040080160326,1.9770437663365156e-09,1.9770437663365156e-09,1.9770437663365157e-10
0.06781563126252506,1.0096192384769536e-06,1.0096192384769536e-06,1.0220440881763533,2.0041794704585913e-09,2.0041794704585913e-09,2.0041794704585913e-10
0.06855711422845692,1.027454909819639e-06,1.027454909819639e-06,1.042084168336674,2.031687622803996e-09,2.031687622803996e-09,2.031687622803996e-10
0.06929859719438879,1.0452905811623243e-06,1.0452905811623243e-06,1.0621242484969946,2.0595733353712252e-09,2.0595733353712252e-09,2.0595733353712253e-10
0.07004008016032065,1.0631262525050097e-06,1.0631262525050097e-06,1.0821643286573153,2.0878417903229896e-09,2.0878417903229896e-09,2.0878417903229896e-10
0.07078156312625251,1.080961923847695e-06,1.080961923847695e-06,1.102204408817636,2.116498240949215e-09,2.116498240949215e-09,2.116498240949215e-10
0.07152304609218438,1.0987975951903804e-06,1.0987975951903804e-06,1.1222444889779566,2.1455480126433085e-09,2.1455480126433085e-09,2.1455480126433086e-10
0.07226452905811624,1.1166332665330658e-06,1.1166332665330658e-06,1.1422845691382773,2.1749965038917753e-09,2.1749965038917753e-09,2.1749965038917753e-10
0.0730060120240481,1.1344689378757512e-06,1.1344689378757512e-06,1.162324649298598,2.2048491872774957e-09,2.2048491872774957e-09,2.2048491872774958e-10
0.07374749498997997,1.1523046092184365e-06,1.1523046092184365e-06,1.1823647294589186,2.235111610496698e-09,2.235111610496698e-09,2.235111610496698e-10
0.07448897795591183,1.1701402805611219e-06,1.1701402805611219e-06,1.2024048096192392,2.265789397389933e-09,2.265789397389933e-09,2.265789397389933e-10
0.0752304609218437,1.1879759519038072e-06,1.1879759519038072e-06,1.22244488977956,2.2968882489871535e-09,2.2968882489871535e-09,2.2968882489871535e-10
0.07597194388777556,1.2058116232464926e-06,1.2058116232464926e-06,1.2424849699398806,2.3284139445672174e-09,2.3284139445672174e-09,2.3284139445672174e-10
0.07671342685370743,1.223647294589178e-06,1.223647294589178e-06,1.2625250501002012,2.360372342731852e-09,2.360372342731852e-09,2.3603723427318517e-10
0.07745490981963929,1.2414829659318633e-06,1.2414829659318633e-06,1.2825651302605219,2.3927693824944086e-09,2.3927693824944086e-09,2.3927693824944087e-10
0.07819639278557115,1.2593186372745487e-06,1.2593186372745487e-06,1.3026052104208425,2.42561108438351e-09,2.42561108438351e-09,2.42561108438351e-10
0.07893787575150302,1.277154308617234e-06,1.277154308617234e-06,1.3226452905811632,2.4589035515619297e-09,2.4589035515619297e-09,2.45890355156193e-10
