fates_allom_d2bl1,fates_maintresp_leaf_ryan1991_baserate,fates_maintresp_nonleaf_baserate,fates_cnp_store_ovrflw_frac,fates_cnp_vmax_nh4,fates_cnp_vmax_no3,fates_cnp_vmax_p
0.15727454909819621,1.3174869739478947e-05,1.3174869739478947e-05,1.4629258517034078,5.306020752962591e-10,5.306020752962591e-10,5.3060207529625915e-11
0.1590180360721441,1.3355210420841672e-05,1.3355210420841672e-05,1.4829659318637285,5.428718044671095e-10,5.428718044671095e-10,5.428718044671094e-11
0.16076152304609198,1.3535551102204397e-05,1.3535551102204397e-05,1.5030060120240492,5.554252608620607e-10,5.554252608620607e-10,5.5542526086206076e-11
0.16250501002003986,1.3715891783567122e-05,1.3715891783567122e-05,1.5230460921843698,5.682690054358476e-10,5.682690054358476e-10,5.6826900543584764e-11
0.16424849699398775,1.3896232464929847e-05,1.3896232464929847e-05,1.5430861723446905,5.81409750859795e-10,5.81409750859795e-10,5.81409750859795e-11
0.16599198396793563,1.4076573146292573e-05,1.4076573146292573e-05,1.5631262525050111,5.948543650301397e-10,5.948543650301397e-10,5.948543650301398e-11
0.1677354709418835,1.4256913827655298e-05,1.4256913827655298e-05,1.5831663326653318,6.086098746574678e-10,6.086098746574678e-10,6.086098746574678e-11
0.1694789579158314,1.4437254509018023e-05,1.4437254509018023e-05,1.6032064128256525,6.226834689391767e-10,6.226834689391767e-10,6.226834689391767e-11
0.17122244488977928,1.4617595190380748e-05,1.4617595190380748e-05,1.6232464929859731,6.37082503316838e-10,6.37082503316838e-10,6.37082503316838e-11
0.17296593186372716,1.4797935871743473e-05,1.4797935871743473e-05,1.6432865731462938,6.518145033204574e-10,6.518145033204574e-10,6.518145033204574e-11
0.17470941883767505,1.4978276553106199e-05,1.4978276553106199e-05,1.6633266533066144,6.668871685016272e-10,6.668871685016272e-10,6.668871685016273e-11
0.17645290581162293,1.5158617234468924e-05,1.5158617234468924e-05,1.683366733466935,6.823083764576323e-10,6.823083764576323e-10,6.823083764576324e-11
0.1781963927855708,1.533895791583165e-05,1.533895791583165e-05,1.7034068136272558,6.980861869485984e-10,6.980861869485984e-10,6.980861869485984e-11
0.1799398797595187,1.5519298597194376e-05,1.5519298597194376e-05,1.7234468937875764,7.1422884610987e-10,7.1422884610987e-10,7.1422884610987e-11
0.18168336673346658,1.5699639278557103e-05,1.5699639278557103e-05,1.743486973947897,7.307447907617714e-10,7.307447907617714e-10,7.307447907617715e-11
0.18342685370741446,1.587997995991983e-05,1.587997995991983e-05,1.7635270541082178,7.476426528190401e-10,7.476426528190401e-10,7.476426528190401e-11
0.18517034068136234,1.6060320641282557e-05,1.6060320641282557e-05,1.7835671342685384,7.649312638022242e-10,7.649312638022242e-10,7.649312638022242e-11
0.18691382765531023,1.6240661322645284e-05,1.6240661322645284e-05,1.803607214428859,7.826196594533893e-10,7.826196594533893e-10,7.826196594533893e-11
0.1886573146292581,1.642100200400801e-05,1.642100200400801e-05,1.8236472945891797,8.007170844585868e-10,8.007170844585868e-10,8.007170844585868e-11
0.190400801603206,1.6601342685370737e-05,1.6601342685370737e-05,1.8436873747495004,8.192329972794974e-10,8.192329972794974e-10,8.192329972794974e-11
0.19214428857715388,1.6781683366733464e-05,1.6781683366733464e-05,1.863727454909821,8.381770750968165e-10,8.381770750968165e-10,8.381770750968166e-11
0.19388777555110176,1.696202404809619e-05,1.696202404809619e-05,1.8837675350701417,8.575592188679522e-10,8.575592188679522e-10,8.575592188679522e-11
0.19563126252504964,1.7142364729458918e-05,1.7142364729458918e-05,1.9038076152304624,8.773895585016613e-10,8.773895585016613e-10,8.773895585016612e-11
0.19737474949899753,1.7322705410821645e-05,1.7322705410821645e-05,1.923847695390783,8.976784581523771e-10,8.976784581523771e-10,8.976784581523771e-11
0.1991182364729454,1.7503046092184372e-05,1.7503046092184372e-05,1.9438877755511037,9.184365216369317e-10,9.184365216369317e-10,9.184365216369317e-11
0.2008617234468933,1.76833867735471e-05,1.76833867735471e-05,1.9639278557114244,9.396745979765522e-10,9.396745979765522e-10,9.396745979765521e-11
0.20260521042084118,1.7863727454909826e-05,1.7863727454909826e-05,1.983967935871745,9.6140378706701e-10,9.6140378706701e-10,9.6140378706701e-11
